booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,meal_plan_1,meal_plan_2,no_meal_plan,required_car_parking_space,room_type_1,room_type_2,room_type_3,room_type_4,room_type_5,room_type_6,lead_time,arrival_year,arrival_month,arrival_day,Aviation,Complementary,Corporate,Offline,Online,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,canceled
INN01394,2,0,0,3,1,0,0,0,1,0,0,0,0,0,125,2018,12,27,0,0,0,1,0,0,0,0,68,1,0
INN01398,2,0,0,1,0,0,1,0,1,0,0,0,0,0,3,2018,1,8,0,0,0,0,1,0,0,0,67.5,0,0
INN01418,2,0,1,2,0,0,1,0,1,0,0,0,0,0,11,2018,4,29,0,0,0,0,1,0,0,0,122.33,0,1
INN01441,2,0,1,2,1,0,0,0,1,0,0,0,0,0,191,2018,6,3,0,0,0,0,1,0,0,0,132,0,1
INN01457,2,0,0,1,0,0,0,0,1,0,0,0,0,0,219,2017,9,4,0,0,0,0,1,0,0,0,108,0,1
INN01460,2,0,2,2,1,0,0,0,1,0,0,0,0,0,172,2018,9,16,0,0,0,1,0,0,0,0,80.75,0,0
INN01465,2,0,0,1,0,0,1,0,1,0,0,0,0,0,2,2018,3,10,0,0,0,0,1,0,0,0,89,0,1
INN01506,2,0,0,2,0,0,1,0,1,0,0,0,0,0,29,2018,6,8,0,0,0,0,1,0,0,0,103.55,0,0
INN01525,2,0,1,2,1,0,0,0,1,0,0,0,0,0,305,2018,11,4,0,0,0,0,1,0,0,0,89,0,1
INN01527,1,0,1,3,1,0,0,0,1,0,0,0,0,0,169,2018,9,1,0,0,0,1,0,0,0,0,76.5,0,0
INN01538,2,0,1,3,1,0,0,0,1,0,0,0,0,0,63,2018,5,16,0,0,0,0,1,0,0,0,92.28,1,0
INN01550,1,0,2,2,1,0,0,0,1,0,0,0,0,0,37,2017,9,20,0,0,0,0,1,0,0,0,95,0,0
INN01551,2,0,1,2,1,0,0,0,0,0,0,1,0,0,11,2018,2,12,0,0,0,1,0,0,0,0,73.6,2,0
INN01569,2,0,1,4,1,0,0,0,1,0,0,0,0,0,259,2018,12,28,0,0,0,0,1,0,0,0,131.43,2,0
INN01570,3,0,1,2,1,0,0,0,0,0,0,1,0,0,38,2018,3,21,0,0,0,0,1,0,0,0,102.7,2,0
INN01598,2,0,0,3,1,0,0,0,0,0,0,1,0,0,45,2018,6,8,0,0,0,0,1,0,0,0,128.4,1,0
INN01609,3,0,2,2,1,0,0,0,0,0,0,1,0,0,34,2018,4,16,0,0,0,0,1,0,0,0,135.45,1,0
INN01613,2,0,0,1,0,0,1,0,1,0,0,0,0,0,67,2018,10,28,0,0,0,0,1,0,0,0,89.1,2,0
INN01618,2,0,2,1,1,0,0,0,1,0,0,0,0,0,65,2017,7,11,0,0,0,0,1,0,0,0,76.5,1,1
INN01632,1,0,0,2,0,0,1,0,1,0,0,0,0,0,119,2018,11,4,0,0,0,0,1,0,0,0,79.2,2,1
INN01639,2,0,0,3,1,0,0,0,0,0,0,1,0,0,32,2018,12,14,0,0,0,0,1,0,0,0,87.78,2,0
INN01640,2,0,2,0,1,0,0,1,1,0,0,0,0,0,2,2018,12,18,0,0,0,0,1,0,0,0,106.5,1,0
INN01646,1,0,1,1,1,0,0,0,1,0,0,0,0,0,4,2017,8,17,0,0,0,0,1,0,0,0,128,3,0
INN01647,2,0,0,2,0,0,0,0,1,0,0,0,0,0,273,2017,7,17,0,0,0,0,1,0,0,0,109,0,1
INN01655,2,0,2,5,0,0,0,0,1,0,0,0,0,0,191,2018,9,7,0,0,0,1,0,0,0,0,80.75,1,0
INN01669,2,0,2,1,0,0,1,0,1,0,0,0,0,0,95,2018,10,30,0,0,0,0,1,0,0,0,79.8,2,1
INN01682,2,0,1,3,1,0,0,0,1,0,0,0,0,0,178,2018,8,15,0,0,0,0,1,0,0,0,99.45,2,0
INN01701,2,0,0,2,1,0,0,0,1,0,0,0,0,0,245,2018,6,17,0,0,0,0,1,0,0,0,75,0,1
INN01702,2,0,1,1,1,0,0,0,1,0,0,0,0,0,68,2018,2,13,0,0,0,0,1,0,0,0,78.3,1,0
INN01707,2,0,2,5,1,0,0,0,1,0,0,0,0,0,29,2018,1,8,0,0,0,0,1,0,0,0,79.54,1,0
INN01725,2,0,0,2,0,0,0,0,1,0,0,0,0,0,273,2017,7,17,0,0,0,0,1,0,0,0,109,0,1
INN01731,2,0,1,2,1,0,0,0,0,0,0,1,0,0,54,2018,6,20,0,0,0,1,0,0,0,0,90.95,0,0
INN01733,1,0,0,2,1,0,0,1,1,0,0,0,0,0,3,2018,3,31,0,0,1,0,0,1,1,13,67,0,0
INN01755,2,0,0,1,1,0,0,0,0,0,0,1,0,0,25,2018,4,30,0,0,0,0,1,0,0,0,156,2,0
INN01762,2,0,0,2,1,0,0,0,1,0,0,0,0,0,111,2018,11,8,0,0,0,0,1,0,0,0,59.5,0,1
INN01776,1,0,0,4,1,0,0,0,1,0,0,0,0,0,65,2017,7,1,0,0,0,0,1,0,0,0,68,1,1
INN01777,2,0,1,1,0,0,1,0,1,0,0,0,0,0,52,2018,10,17,0,0,0,0,1,0,0,0,108,1,0
INN01780,2,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2018,10,7,0,0,0,0,1,0,0,0,144,0,0
INN01810,2,0,1,2,0,0,1,0,1,0,0,0,0,0,16,2018,12,2,0,0,0,0,1,0,0,0,85.78,2,0
INN01812,2,0,0,2,0,0,1,0,0,0,0,1,0,0,15,2017,9,16,0,0,0,0,1,0,0,0,115,2,0
INN01827,3,0,0,3,1,0,0,0,0,0,0,1,0,0,158,2018,7,7,0,0,0,0,1,0,0,0,146.7,2,1
INN01847,2,0,2,2,1,0,0,0,1,0,0,0,0,0,29,2017,10,17,0,0,0,0,1,0,0,0,95.04,0,0
INN01860,2,0,1,3,1,0,0,0,0,0,0,1,0,0,47,2018,6,16,0,0,0,0,1,0,0,0,140.4,0,1
INN01861,3,0,1,1,1,0,0,0,0,0,0,1,0,0,36,2018,5,14,0,0,0,0,1,0,0,0,159.3,0,1
INN01871,2,1,0,3,1,0,0,0,1,0,0,0,0,0,34,2018,10,26,0,0,0,1,0,0,0,0,100,0,0
INN01872,2,0,1,1,1,0,0,0,1,0,0,0,0,0,33,2018,1,25,0,0,1,0,0,0,0,0,62,0,1
INN01876,1,0,1,1,1,0,0,0,1,0,0,0,0,0,89,2018,10,3,0,0,0,0,1,0,0,0,113.4,1,0
INN01882,1,0,0,2,0,0,0,0,1,0,0,0,0,0,377,2018,10,14,0,0,0,1,0,0,0,0,90,0,0
INN01883,2,0,0,1,1,0,0,0,1,0,0,0,0,0,255,2018,6,3,0,0,0,0,1,0,0,0,80.85,1,1
INN01896,2,0,1,2,1,0,0,0,1,0,0,0,0,0,58,2017,11,13,0,0,0,0,1,0,0,0,79.2,1,0
INN01929,1,0,1,0,1,0,0,0,1,0,0,0,0,0,5,2018,9,26,0,1,0,0,0,0,0,0,0,0,0
INN01940,3,0,2,2,1,0,0,0,0,0,0,1,0,0,59,2018,12,11,0,0,0,0,1,0,0,0,119,1,0
INN01964,2,0,1,2,1,0,0,0,1,0,0,0,0,0,167,2018,8,26,0,0,0,0,1,0,0,0,90.9,0,1
INN01966,2,0,0,1,1,0,0,0,0,0,0,1,0,0,62,2018,5,7,0,0,0,0,1,0,0,0,140.4,0,1
INN01976,1,0,4,10,0,0,1,0,1,0,0,0,0,0,26,2018,12,1,0,0,0,0,1,0,0,0,66.29,0,1
INN01982,1,0,0,2,1,0,0,0,1,0,0,0,0,0,103,2018,4,19,0,0,0,0,1,0,0,0,115,0,1
INN01984,3,0,0,3,1,0,0,0,0,0,0,1,0,0,144,2018,9,15,0,0,0,0,1,0,0,0,162,0,1
INN01994,3,0,0,2,1,0,0,0,0,0,0,1,0,0,93,2018,6,3,0,0,0,0,1,0,0,0,159.3,0,0
INN02024,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2018,9,20,0,0,0,0,1,0,0,0,180,0,0
INN02026,2,2,2,3,1,0,0,0,0,0,0,0,0,1,192,2018,10,28,0,0,0,0,1,0,0,0,164.63,0,1
INN02040,1,0,0,2,1,0,0,0,1,0,0,0,0,0,25,2018,2,16,0,0,0,0,1,0,0,0,66.22,1,0
INN02058,2,0,2,0,0,0,0,0,1,0,0,0,0,0,386,2018,10,23,0,0,0,0,1,0,0,0,115,1,1
INN02071,1,0,2,1,0,0,1,0,1,0,0,0,0,0,10,2018,6,26,0,0,0,0,1,0,0,0,112.33,1,1
INN02084,2,0,2,5,1,0,0,0,1,0,0,0,0,0,0,2018,1,10,0,0,0,0,1,1,0,1,41.84,1,0
INN02097,2,0,1,0,0,0,1,0,1,0,0,0,0,0,57,2018,7,18,0,0,0,0,1,0,0,0,84.6,0,0
INN02118,2,0,2,1,1,0,0,0,1,0,0,0,0,0,46,2018,10,30,0,0,0,1,0,0,0,0,75,0,0
INN02123,2,0,1,2,1,0,0,1,1,0,0,0,0,0,43,2018,2,26,0,0,0,0,1,0,0,0,88.5,1,0
INN02141,2,0,1,3,0,0,0,0,1,0,0,0,0,0,11,2018,3,3,0,0,0,0,1,0,0,0,138,0,1
INN02155,2,0,0,3,1,0,0,0,0,1,0,0,0,0,246,2018,9,8,0,0,0,0,1,0,0,0,81.77,1,1
INN02173,2,0,0,3,1,0,0,0,0,0,0,1,0,0,59,2017,11,19,0,0,0,1,0,0,0,0,60,0,0
INN02184,2,0,1,0,0,0,1,1,1,0,0,0,0,0,14,2018,2,8,0,0,0,0,1,0,0,0,90,1,0
INN02189,2,0,1,3,0,0,1,0,1,0,0,0,0,0,137,2018,4,18,0,0,0,0,1,0,0,0,80.75,1,0
INN02210,2,0,1,0,1,0,0,0,1,0,0,0,0,0,166,2018,6,26,0,0,0,0,1,0,0,0,96.3,1,0
INN02212,1,0,1,2,1,0,0,0,1,0,0,0,0,0,19,2017,10,12,0,0,0,0,1,0,0,0,126,0,0
INN02237,2,0,0,1,1,0,0,0,1,0,0,0,0,0,3,2018,8,20,0,0,0,0,1,0,0,0,140,3,0
INN02248,2,0,2,5,1,0,0,0,0,0,0,1,0,0,296,2018,7,24,0,0,0,0,1,0,0,0,104.4,1,1
INN02262,2,0,0,2,1,0,0,0,1,0,0,0,0,0,29,2018,12,2,0,0,1,0,0,0,0,0,85,0,0
INN02278,2,0,1,0,1,0,0,0,1,0,0,0,0,0,69,2017,10,4,0,0,0,0,1,0,0,0,68.72,1,0
INN02287,2,0,2,3,0,0,1,0,1,0,0,0,0,0,294,2018,11,12,0,0,0,0,1,0,0,0,70.55,2,1
INN02316,2,0,0,2,0,0,1,0,1,0,0,0,0,0,21,2018,4,13,0,0,0,0,1,0,0,0,117,0,1
INN02317,2,0,1,4,1,0,0,0,0,0,0,1,0,0,48,2018,9,26,0,0,0,0,1,0,0,0,154.98,2,0
INN02324,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2018,2,12,0,0,0,0,1,0,0,0,55.08,0,0
INN02367,2,0,2,1,0,0,1,0,1,0,0,0,0,0,183,2018,10,29,0,0,0,0,1,0,0,0,80.1,2,1
INN02372,2,1,1,2,1,0,0,0,1,0,0,0,0,0,202,2018,8,15,0,0,0,0,1,0,0,0,115.5,2,1
INN02382,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2017,8,14,0,0,0,1,0,0,0,0,109,0,0
INN02410,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,2018,7,8,0,0,0,0,1,0,0,0,265,0,1
INN02414,2,1,1,1,0,0,0,1,1,0,0,0,0,0,1,2018,12,3,0,0,0,0,1,0,0,0,189,2,0
INN02423,3,0,2,3,1,0,0,0,0,0,0,1,0,0,119,2018,10,16,0,0,0,0,1,0,0,0,151.2,2,0
INN02429,2,0,1,4,1,0,0,0,0,0,0,1,0,0,138,2018,8,17,0,0,0,0,1,0,0,0,122.4,2,0
INN02439,2,0,1,3,1,0,0,0,1,0,0,0,0,0,71,2018,3,28,0,0,0,0,1,0,0,0,82.45,1,0
INN02442,2,0,0,4,0,0,0,0,1,0,0,0,0,0,19,2018,11,2,0,0,0,0,1,0,0,0,134.3,1,0
INN02496,2,1,1,2,1,0,0,0,1,0,0,0,0,0,101,2018,7,11,0,0,0,1,0,0,0,0,84.58,0,0
INN02517,2,0,2,2,1,0,0,0,1,0,0,0,0,0,134,2017,12,4,0,0,0,1,0,0,0,0,65,0,0
INN02541,1,0,0,2,1,0,0,0,1,0,0,0,0,0,86,2017,9,24,0,0,0,1,0,0,0,0,87.5,0,0
INN02570,2,2,0,1,0,0,1,0,0,0,0,1,0,0,0,2018,9,16,0,0,0,0,1,0,0,0,147.59,0,0
INN02576,1,0,1,1,1,0,0,0,1,0,0,0,0,0,10,2018,9,19,0,0,0,0,1,0,0,0,149,2,0
INN02583,2,0,0,1,1,0,0,0,1,0,0,0,0,0,2,2018,6,17,0,0,0,0,1,0,0,0,141,1,0
INN02596,1,0,2,4,1,0,0,0,1,0,0,0,0,0,83,2018,3,12,0,0,0,1,0,0,0,0,46.67,0,0
INN02603,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,2018,6,22,0,0,0,0,1,0,0,0,95.48,1,0
INN02612,1,0,1,1,1,0,0,0,1,0,0,0,0,0,5,2018,5,23,0,0,0,1,0,0,0,0,100,1,0
INN02643,1,0,1,2,1,0,0,0,1,0,0,0,0,0,219,2017,9,4,0,0,0,1,0,0,0,0,76.67,0,0
INN02659,3,0,0,2,1,0,0,1,0,0,0,1,0,0,127,2018,10,18,0,0,0,0,1,0,0,0,160.2,1,0
INN02664,2,0,2,4,1,0,0,0,1,0,0,0,0,0,160,2018,4,27,0,0,0,0,1,0,0,0,90,0,1
INN02707,2,0,1,2,1,0,0,0,1,0,0,0,0,0,20,2018,11,14,0,0,0,0,1,0,0,0,104,2,0
INN02716,2,0,1,1,0,0,1,0,1,0,0,0,0,0,56,2018,4,18,0,0,0,0,1,0,0,0,85.5,1,0
INN02719,2,0,2,4,1,0,0,0,1,0,0,0,0,0,13,2018,2,14,0,0,0,0,1,0,0,0,91,0,0
